total energy consumption from petroleum and other liquids (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cook Islands,0.000626523,0.000626523,0.000628239,0.000626523,0.000626523,0.000430879,0.000628239,0.000626523,0.000626523,0.000626523,0.000628239,0.000626523,0.000626523,0.000626523,0.000837084,0.000798156,0.000431675,0.000398362,0.000674971,0.001082858,0.001153692,0.000973279,0.000998889,0.00091936,0.001091741,0.001224275,0.00129851,0.001290617,0.001361304,0.001258,0.001304
Costa Rica,0.028053791,0.032887084,0.037872399,0.041099037,0.038939259,0.041389285,0.052279111,0.056625151,0.058141909,0.064130683,0.060932302,0.064293582,0.072028926,0.079310558,0.077590068,0.077853453,0.080378044,0.083245913,0.082056404,0.088481545,0.095184523,0.103521402,0.102309396,0.097079387,0.099246619,0.100547477,0.100337319,0.104084753,0.106361897,0.104065164,0.1100478
Croatia,--,--,--,--,--,--,0.137281476,0.135335795,0.16582169,0.18886268,0.164836884,0.170238555,0.19154438,0.193256214,0.176278193,0.180332674,0.188323604,0.207952636,0.195336838,0.200548278,0.203189774,0.209937715,0.196909657,0.193666037,0.164669,0.163376307,0.15140035,0.141861545,0.140256532,0.142764807,0.141526
Cuba,0.481228045,0.473555745,0.47953503,0.487970325,0.475169045,0.444084915,0.393940806,0.390090465,0.394468275,0.40406376,0.414444492,0.431523805,0.422752819,0.357577178,0.340737083,0.322533714,0.324431754,0.33110842,0.335325459,0.332541718,0.324301543,0.320534215,0.349377109,0.352514308,0.411437841,0.366998135,0.401917499,0.380432079,0.384970161,0.384144974,0.2902532
Cyprus,0.047483544,0.051453795,0.051787024,0.064203719,0.06856025,0.069345766,0.08019243,0.080084212,0.092157244,0.090685747,0.089395061,0.091410454,0.098302348,0.104705762,0.109726019,0.110065692,0.109059292,0.117608967,0.105816481,0.116962698,0.121460359,0.124961724,0.129635463,0.124873523,0.119655175,0.118325389,0.110890698,0.098380587,0.099396898,0.101365481,0.11126
Czech Republic,--,--,--,--,--,--,--,0.325207486,0.332989361,0.350213948,0.360662262,0.349303858,0.362017503,0.35978802,0.349996387,0.368307645,0.361370731,0.385104502,0.424408824,0.438656538,0.43584654,0.43536226,0.445361682,0.423988091,0.416856363,0.407862704,0.403228126,0.387705835,0.415310511,0.403092464,0.370082448
Côte d’Ivoire,0.066359628,0.073700946,0.076956368,0.076864073,0.063861276,0.05254624,0.052871116,0.060301285,0.061785266,0.060689025,0.063437755,0.057504473,0.055022947,0.061809794,0.061923313,0.059877481,0.061337197,0.047683649,0.058001216,0.073975748,0.053292383,0.050252045,0.057026043,0.051460717,0.056881804,0.048090138,0.069647493,0.078614782,0.084545034,0.088923113,0.100333399
Denmark,0.461513993,0.448925831,0.429421284,0.41035539,0.40324414,0.407113136,0.403880488,0.416896948,0.444060869,0.466953767,0.494003468,0.473750128,0.465233948,0.459376365,0.439130706,0.445329396,0.410821269,0.392185541,0.386175535,0.381585106,0.396344924,0.397219169,0.378267076,0.34599114,0.348543422,0.339827321,0.32398293,0.322123462,0.319708045,0.321115949,0.329589922
Djibouti,0.00971641,0.00992811,0.009725206,0.022855789,0.023482312,0.023482312,0.023776751,0.023923487,0.02457253,0.024343055,0.024409748,0.02457253,0.02457253,0.02457253,0.012057651,0.012012843,0.012047991,0.012497622,0.012155557,0.011494758,0.010741764,0.011180997,0.01250318,0.010857237,0.012364418,0.00933997,0.012319518,0.01271693,0.012938669,0.011376212,0.010366822
Dominica,0.000503201,0.000694936,0.000731301,0.000729657,0.000729657,0.000729657,0.000731301,0.000729657,0.000965225,0.001221068,0.001224413,0.00122167,0.00122167,0.001221695,0.001479551,0.001654493,0.001516902,0.00173913,0.002067666,0.002035736,0.002031383,0.002569669,0.002303045,0.00230849,0.002425109,0.002344211,0.00233055,0.002231696,0.002372794,0.002538,0.002556
